Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Punjab, 30-06-2020, M, 20.00, 5364047.00, 43.90
Punjab, 31-07-2020, M, 11.26, 6214483.00, 45.77
Punjab, 31-08-2020, M, 9.78, 5902580.00, 42.69
Rajasthan, 31-01-2016, M, 5.23, 14209938.00, 39.92
Rajasthan, 29-02-2016, M, 3.60, 14678178.00, 40.45
Rajasthan, 31-03-2016, M, 8.03, 13199688.00, 38.03
Rajasthan, 30-04-2016, M, 11.31, 13351063.00, 39.81
Rajasthan, 31-05-2016, M, 7.57, 13492549.00, 38.51
Rajasthan, 30-06-2016, M, 7.50, 14600380.00, 41.54
Rajasthan, 31-07-2016, M, 7.48, 12236929.00, 34.73
Rajasthan, 31-08-2016, M, 5.91, 14174744.00, 39.47
Rajasthan, 30-09-2016, M, 3.83, 14584093.00, 39.64
Rajasthan, 31-10-2016, M, 4.65, 14784248.00, 40.43
Rajasthan, 30-11-2016, M, 5.27, 12435186.00, 34.15
Rajasthan, 31-12-2016, M, 8.76, 13719846.00, 39.03
Rajasthan, 31-01-2017, M, 5.10, 13825735.00, 37.73
Rajasthan, 28-02-2017, M, 4.17, 15298148.00, 41.25
Rajasthan, 31-03-2017, M, 2.41, 15399084.00, 40.68
Rajasthan, 30-04-2017, M, 5.76, 14870442.00, 40.59
Rajasthan, 31-05-2017, M, 2.55, 13849569.00, 36.47
Rajasthan, 30-06-2017, M, 5.13, 15358818.00, 41.45
Rajasthan, 31-07-2017, M, 0.80, 13784519.00, 35.50
Rajasthan, 31-08-2017, M, 6.82, 13949398.00, 38.15
Rajasthan, 30-09-2017, M, 1.06, 15234360.00, 39.15
Rajasthan, 31-10-2017, M, 3.00, 14006433.00, 36.63
Rajasthan, 30-11-2017, M, 7.49, 15205714.00, 41.60
Rajasthan, 31-12-2017, M, 3.76, 14532296.00, 38.13
Rajasthan, 31-01-2018, M, 5.23, 14537018.00, 38.64
Rajasthan, 28-02-2018, M, 4.43, 13962211.00, 36.72
Rajasthan, 31-03-2018, M, 13.31, 14529426.00, 42.03
Rajasthan, 30-04-2018, M, 6.68, 14036756.00, 37.64
Rajasthan, 31-05-2018, M, 3.48, 14888304.00, 38.51
Rajasthan, 30-06-2018, M, 9.27, 14117414.00, 38.75
Rajasthan, 31-07-2018, M, 10.17, 14382481.00, 39.78
Rajasthan, 31-08-2018, M, 9.34, 14286761.00, 39.07
Rajasthan, 30-09-2018, M, 6.20, 14629445.00, 38.57
Rajasthan, 31-10-2018, M, 13.22, 14295458.00, 40.65
Rajasthan, 30-11-2018, M, 11.99, 14593183.00, 40.82
Rajasthan, 31-12-2018, M, 14.58, 14547388.00, 41.83
Rajasthan, 31-01-2019, M, 5.82, 14813168.00, 38.54
Rajasthan, 28-02-2019, M, 9.58, 15265319.00, 41.28
Rajasthan, 31-03-2019, M, 8.92, 14728164.00, 39.45
Rajasthan, 30-04-2019, M, 12.10, 15028831.00, 41.61
Rajasthan, 31-05-2019, M, 4.03, 15226003.00, 38.52
Rajasthan, 30-06-2019, M, 13.70, 14610567.00, 41.02
Rajasthan, 31-07-2019, M, 9.70, 14859873.00, 39.78
Rajasthan, 31-08-2019, M, 12.50, 15052044.00, 41.48
Rajasthan, 30-09-2019, M, 5.65, 15290705.00, 38.99
Rajasthan, 31-10-2019, M, 14.66, 15178549.00, 42.69
Rajasthan, 30-11-2019, M, 10.47, 15278556.00, 40.87
Rajasthan, 31-12-2019, M, 13.96, 15485313.00, 43.00
Rajasthan, 31-01-2020, M, 8.00, 15484353.00, 40.12
Rajasthan, 29-02-2020, M, 14.48, 15040572.00, 41.83
Rajasthan, 31-03-2020, M, 9.47, 15059769.00, 39.47
Rajasthan, 30-04-2020, M, 12.25, 13051219.00, 35.21
Rajasthan, 31-05-2020, M, 10.45, 15586833.00, 41.11
Rajasthan, 30-06-2020, M, 13.86, 16076978.00, 43.98
Rajasthan, 31-07-2020, M, 14.00, 14632880.00, 40.00
Rajasthan, 31-08-2020, M, 14.68, 15036627.00, 41.34
Sikkim, 31-10-2019, M, 5.48, 146688.00, 44.06
Sikkim, 30-11-2019, M, 13.11, 162426.00, 53.04
Sikkim, 31-12-2019, M, 1.00, 161647.00, 46.30
Sikkim, 30-04-2020, M, 0.00, 133399.00, 37.72
Sikkim, 30-06-2020, M, 5.81, 141313.00, 42.36
Sikkim, 31-08-2020, M, 12.68, 160503.00, 51.82
Tamil Nadu, 31-01-2016, M, 8.17, 17782398.00, 63.34
Tamil Nadu, 29-02-2016, M, 2.60, 18168328.00, 60.92
Tamil Nadu, 31-03-2016, M, 9.11, 17700247.00, 63.51
Tamil Nadu, 30-04-2016, M, 11.58, 17653242.00, 65.02
Tamil Nadu, 31-05-2016, M, 9.81, 18507825.00, 66.73
Tamil Nadu, 30-06-2016, M, 4.08, 17158603.00, 58.09
Tamil Nadu, 31-07-2016, M, 3.27, 17805142.00, 59.69
Tamil Nadu, 31-08-2016, M, 6.17, 18626660.00, 64.29
Tamil Nadu, 30-09-2016, M, 19.30, 17836139.00, 71.47
Tamil Nadu, 31-10-2016, M, 12.03, 17155077.00, 62.97
Tamil Nadu, 30-11-2016, M, 4.50, 17644912.00, 59.58
Tamil Nadu, 31-12-2016, M, 5.47, 18144210.00, 61.80
Tamil Nadu, 31-01-2017, M, 12.84, 18099581.00, 66.77
Tamil Nadu, 28-02-2017, M, 6.80, 17377130.00, 59.87
Tamil Nadu, 31-03-2017, M, 2.52, 17849223.00, 58.71
Tamil Nadu, 30-04-2017, M, 6.21, 17777485.00, 60.69
Tamil Nadu, 31-05-2017, M, 3.59, 18229170.00, 60.45
Tamil Nadu, 30-06-2017, M, 0.70, 17385311.00, 55.90
Tamil Nadu, 31-07-2017, M, 2.83, 17402243.00, 57.09
Tamil Nadu, 31-08-2017, M, 3.21, 16681303.00, 54.87
Tamil Nadu, 30-09-2017, M, 2.89, 18198296.00, 59.57
Tamil Nadu, 31-10-2017, M, 3.68, 17015138.00, 56.08
Tamil Nadu, 30-11-2017, M, 2.30, 17373818.00, 56.37
Tamil Nadu, 31-12-2017, M, 2.12, 17203829.00, 55.64
Tamil Nadu, 31-01-2018, M, 2.20, 17782265.00, 57.47
Tamil Nadu, 28-02-2018, M, 2.24, 16418900.00, 53.02
Tamil Nadu, 31-03-2018, M, 2.56, 16873055.00, 54.58
Tamil Nadu, 30-04-2018, M, 1.39, 17222000.00, 54.97
Tamil Nadu, 31-05-2018, M, 1.82, 17536067.00, 56.14
Tamil Nadu, 30-06-2018, M, 1.34, 16384171.00, 52.12
Tamil Nadu, 31-07-2018, M, 2.20, 16728240.00, 53.61
Tamil Nadu, 31-08-2018, M, 1.17, 16376394.00, 51.86
Tamil Nadu, 30-09-2018, M, 1.80, 16274296.00, 51.79
Tamil Nadu, 31-10-2018, M, 0.64, 16108818.00, 50.59
Tamil Nadu, 30-11-2018, M, 2.59, 16850621.00, 53.91
Tamil Nadu, 31-12-2018, M, 1.29, 15440928.00, 48.68
Tamil Nadu, 31-01-2019, M, 2.67, 15510576.00, 49.52
Tamil Nadu, 28-02-2019, M, 1.68, 15640955.00, 49.36
Tamil Nadu, 31-03-2019, M, 1.21, 16405972.00, 51.46
Tamil Nadu, 30-04-2019, M, 0.57, 15355003.00, 47.78
Tamil Nadu, 31-05-2019, M, 0.97, 15844690.00, 49.44
Tamil Nadu, 30-06-2019, M, 0.92, 16375303.00, 50.99
Tamil Nadu, 31-07-2019, M, 6.01, 16455940.00, 53.94
Tamil Nadu, 31-08-2019, M, 2.91, 16463934.00, 52.17
Tamil Nadu, 30-09-2019, M, 1.74, 15062612.00, 47.10
Tamil Nadu, 31-10-2019, M, 1.46, 15595650.00, 48.55
Tamil Nadu, 30-11-2019, M, 2.46, 16223432.00, 50.95
Tamil Nadu, 31-12-2019, M, 3.73, 15356936.00, 48.80
Tamil Nadu, 31-01-2020, M, 1.18, 14954646.00, 46.23
Tamil Nadu, 29-02-2020, M, 1.17, 15828488.00, 48.86
Tamil Nadu, 31-03-2020, M, 6.36, 15848590.00, 51.56
Tamil Nadu, 30-04-2020, M, 53.19, 5086200.00, 33.05
Tamil Nadu, 31-05-2020, M, 38.73, 5768342.00, 28.60
Tamil Nadu, 30-06-2020, M, 2.06, 10169115.00, 31.49
Tamil Nadu, 31-07-2020, M, 5.88, 13430733.00, 43.22
Tamil Nadu, 31-08-2020, M, 1.80, 14442862.00, 44.48
Telangana, 31-01-2016, M, 5.71, 12840058.00, 79.13
Telangana, 29-02-2016, M, 2.38, 11597906.00, 68.94
Telangana, 31-03-2016, M, 3.17, 10829463.00, 64.79
Telangana, 30-04-2016, M, 5.03, 11987505.00, 73.01
Telangana, 31-05-2016, M, 3.83, 11461146.00, 68.83
Telangana, 30-06-2016, M, 7.61, 8798470.00, 54.91
Telangana, 31-07-2016, M, 2.74, 9121167.00, 53.99
Telangana, 31-08-2016, M, 2.76, 11910609.00, 70.41
Telangana, 30-09-2016, M, 1.86, 10743204.00, 62.83
Telangana, 31-10-2016, M, 6.48, 10309634.00, 63.17
Telangana, 30-11-2016, M, 4.38, 11040798.00, 66.07
Telangana, 31-12-2016, M, 2.50, 12635254.00, 74.03
Telangana, 31-01-2017, M, 1.94, 9931079.00, 57.76
Telangana, 28-02-2017, M, 15.80, 9234905.00, 62.47
Telangana, 31-03-2017, M, 4.99, 12364421.00, 74.00
Telangana, 30-04-2017, M, 2.12, 11545305.00, 66.97
Telangana, 31-05-2017, M, 1.77, 9587156.00, 55.33
Telangana, 30-06-2017, M, 14.70, 9216543.00, 61.16
Telangana, 31-07-2017, M, 4.24, 9624337.00, 56.80
Telangana, 31-08-2017, M, 1.10, 11190443.00, 63.84
Telangana, 30-09-2017, M, 1.86, 9158081.00, 52.57
Telangana, 31-10-2017, M, 4.76, 8619970.00, 50.91
Telangana, 30-11-2017, M, 1.79, 11943007.00, 68.29
Telangana, 31-12-2017, M, 1.19, 12162503.00, 69.02
Telangana, 31-01-2018, M, 4.62, 9462240.00, 55.54
Telangana, 28-02-2018, M, 2.54, 9609707.00, 55.12
Telangana, 31-03-2018, M, 3.60, 10569654.00, 61.20
Telangana, 30-04-2018, M, 0.65, 9325887.00, 52.31
Telangana, 31-05-2018, M, 0.94, 9063618.00, 50.91
Telangana, 30-06-2018, M, 1.32, 9545297.00, 53.74
Telangana, 31-07-2018, M, 0.27, 11187838.00, 62.23
Telangana, 31-08-2018, M, 0.21, 10444826.00, 57.96
Telangana, 30-09-2018, M, 0.62, 10833856.00, 60.28
Telangana, 31-10-2018, M, 1.22, 8902682.00, 49.76
Telangana, 30-11-2018, M, 0.41, 11422038.00, 63.22
Telangana, 31-12-2018, M, 0.21, 9676854.00, 53.37
Telangana, 31-01-2019, M, 3.01, 10749055.00, 60.90
Telangana, 28-02-2019, M, 2.14, 9965875.00, 55.88
Telangana, 31-03-2019, M, 2.33, 11244921.00, 63.07
Telangana, 30-04-2019, M, 1.86, 9642129.00, 53.74
Telangana, 31-05-2019, M, 2.23, 11053352.00, 61.74
Telangana, 30-06-2019, M, 5.92, 10728821.00, 62.19
Telangana, 31-07-2019, M, 2.45, 11538688.00, 64.40
Telangana, 31-08-2019, M, 1.40, 10743961.00, 59.23
Telangana, 30-09-2019, M, 4.13, 11415308.00, 64.62
Telangana, 31-10-2019, M, 7.29, 11375348.00, 66.49
Telangana, 30-11-2019, M, 6.47, 11265831.00, 65.17
Telangana, 31-12-2019, M, 1.35, 11068057.00, 60.61
Telangana, 31-01-2020, M, 5.02, 12065915.00, 68.51
Telangana, 29-02-2020, M, 9.02, 11304474.00, 66.92
Telangana, 31-03-2020, M, 5.63, 12028377.00, 68.53
Telangana, 30-04-2020, M, 4.51, 8793799.00, 49.44
Telangana, 31-05-2020, M, 34.01, 7508747.00, 61.00
Telangana, 30-06-2020, M, 19.30, 8891181.00, 58.97
Telangana, 31-07-2020, M, 12.77, 9590911.00, 58.75
Telangana, 31-08-2020, M, 7.02, 13608389.00, 78.08
Tripura, 30-09-2017, M, 20.00, 859255.00, 49.65
Tripura, 31-10-2017, M, 8.57, 1066870.00, 53.85
Tripura, 31-01-2018, M, 33.33, 963790.00, 66.38
Tripura, 28-02-2018, M, 31.63, 1021898.00, 68.53
Tripura, 31-03-2018, M, 15.29, 936297.00, 50.60
Tripura, 30-04-2018, M, 13.26, 1004529.00, 52.92
Tripura, 31-05-2018, M, 22.92, 1036401.00, 61.34
Tripura, 30-06-2018, M, 20.00, 1076286.00, 61.28
Tripura, 31-07-2018, M, 17.49, 951442.00, 52.44
Tripura, 31-08-2018, M, 23.88, 1043379.00, 62.23
Tripura, 30-09-2018, M, 39.19, 967018.00, 72.08
Tripura, 31-10-2018, M, 33.09, 1086837.00, 73.50
Tripura, 30-11-2018, M, 33.33, 1012609.00, 68.62
Tripura, 31-12-2018, M, 23.11, 1066060.00, 62.54
Tripura, 31-01-2019, M, 33.06, 996372.00, 67.03
Tripura, 28-02-2019, M, 25.70, 1137114.00, 68.81
Tripura, 31-03-2019, M, 22.95, 1026566.00, 59.80
Tripura, 30-04-2019, M, 22.22, 1077253.00, 62.07
Tripura, 31-05-2019, M, 29.25, 1019549.00, 64.47
Tripura, 30-06-2019, M, 26.64, 1107013.00, 67.40
Tripura, 31-07-2019, M, 22.47, 1052598.00, 60.54
Tripura, 31-08-2019, M, 25.49, 975501.00, 58.29
Tripura, 30-09-2019, M, 30.23, 1034408.00, 65.90
Tripura, 31-10-2019, M, 27.54, 1113764.00, 68.21
Tripura, 30-11-2019, M, 25.25, 1084633.00, 64.29
Tripura, 31-12-2019, M, 26.53, 1046878.00, 63.02
Tripura, 31-01-2020, M, 31.91, 1057975.00, 68.61
Tripura, 29-02-2020, M, 26.22, 1169347.00, 69.88
Tripura, 31-03-2020, M, 31.61, 1060946.00, 68.28
Tripura, 30-04-2020, M, 43.64, 675083.00, 52.63
Tripura, 31-05-2020, M, 14.71, 911789.00, 46.90
Tripura, 30-06-2020, M, 18.84, 1106978.00, 59.74
Tripura, 31-07-2020, M, 12.70, 967552.00, 48.46
Tripura, 31-08-2020, M, 27.44, 970103.00, 58.36
Uttar Pradesh, 31-01-2016, M, 13.76, 42479419.00, 44.49
Uttar Pradesh, 29-02-2016, M, 13.33, 41941441.00, 43.62
Uttar Pradesh, 31-03-2016, M, 12.16, 43489501.00, 44.53
Uttar Pradesh, 30-04-2016, M, 13.15, 42730696.00, 44.15
Uttar Pradesh, 31-05-2016, M, 15.30, 44347442.00, 46.89
Uttar Pradesh, 30-06-2016, M, 18.02, 42975514.00, 46.84
Uttar Pradesh, 31-07-2016, M, 11.83, 43137820.00, 43.63
Uttar Pradesh, 31-08-2016, M, 16.90, 43095763.00, 46.14
Uttar Pradesh, 30-09-2016, M, 8.89, 46847283.00, 45.65
Uttar Pradesh, 31-10-2016, M, 8.09, 44804448.00, 43.18
Uttar Pradesh, 30-11-2016, M, 5.13, 42225753.00, 39.34
Uttar Pradesh, 31-12-2016, M, 7.23, 42130453.00, 40.05
Uttar Pradesh, 31-01-2017, M, 2.94, 43723080.00, 39.64
Uttar Pradesh, 28-02-2017, M, 2.16, 42679666.00, 38.31
Uttar Pradesh, 31-03-2017, M, 1.19, 41651327.00, 36.94
Uttar Pradesh, 30-04-2017, M, 5.51, 42101198.00, 38.96
Uttar Pradesh, 31-05-2017, M, 2.15, 42996069.00, 38.34
Uttar Pradesh, 30-06-2017, M, 1.60, 44172996.00, 39.08
Uttar Pradesh, 31-07-2017, M, 1.26, 42857326.00, 37.71
Uttar Pradesh, 31-08-2017, M, 7.13, 42875942.00, 40.02
Uttar Pradesh, 30-09-2017, M, 2.61, 43205468.00, 38.37
Uttar Pradesh, 31-10-2017, M, 2.46, 44011138.00, 38.94
Uttar Pradesh, 30-11-2017, M, 1.46, 42504146.00, 37.15
Uttar Pradesh, 31-12-2017, M, 5.53, 41991466.00, 38.20
Uttar Pradesh, 31-01-2018, M, 3.15, 43350408.00, 38.38
Uttar Pradesh, 28-02-2018, M, 2.81, 44031310.00, 38.77
Uttar Pradesh, 31-03-2018, M, 2.18, 43365448.00, 37.85
Uttar Pradesh, 30-04-2018, M, 5.73, 43192494.00, 39.04
Uttar Pradesh, 31-05-2018, M, 4.74, 43486815.00, 38.81
Uttar Pradesh, 30-06-2018, M, 3.05, 44046996.00, 38.54
Uttar Pradesh, 31-07-2018, M, 2.94, 43208316.00, 37.68
Uttar Pradesh, 31-08-2018, M, 8.76, 42706441.00, 39.53
Uttar Pradesh, 30-09-2018, M, 7.30, 43174661.00, 39.25
Uttar Pradesh, 31-10-2018, M, 5.05, 42913894.00, 38.01
Uttar Pradesh, 30-11-2018, M, 5.37, 42743911.00, 37.90
Uttar Pradesh, 31-12-2018, M, 10.75, 42924264.00, 40.27
Uttar Pradesh, 31-01-2019, M, 8.14, 42956774.00, 39.07
Uttar Pradesh, 28-02-2019, M, 8.72, 41959261.00, 38.32
Uttar Pradesh, 31-03-2019, M, 7.75, 43342692.00, 39.08
Uttar Pradesh, 30-04-2019, M, 10.87, 44306803.00, 41.26
Uttar Pradesh, 31-05-2019, M, 10.26, 43287812.00, 39.96
Uttar Pradesh, 30-06-2019, M, 11.13, 42276551.00, 39.32
Uttar Pradesh, 31-07-2019, M, 9.19, 42697003.00, 38.78
Uttar Pradesh, 31-08-2019, M, 11.47, 43298748.00, 40.24
Uttar Pradesh, 30-09-2019, M, 6.37, 44310100.00, 38.86
Uttar Pradesh, 31-10-2019, M, 10.18, 42833280.00, 39.07
Uttar Pradesh, 30-11-2019, M, 6.94, 43261536.00, 38.01
Uttar Pradesh, 31-12-2019, M, 8.43, 44640064.00, 39.77
Uttar Pradesh, 31-01-2020, M, 6.06, 45777509.00, 39.67
Uttar Pradesh, 29-02-2020, M, 8.12, 44257432.00, 39.13
Uttar Pradesh, 31-03-2020, M, 9.37, 43086706.00, 38.53
Uttar Pradesh, 30-04-2020, M, 19.92, 39970677.00, 40.37
Uttar Pradesh, 31-05-2020, M, 16.89, 38640999.00, 37.52
Uttar Pradesh, 30-06-2020, M, 8.51, 41908909.00, 36.89
Uttar Pradesh, 31-07-2020, M, 4.28, 43403319.00, 36.43
Uttar Pradesh, 31-08-2020, M, 5.69, 42985424.00, 36.54
Uttarakhand, 31-01-2016, M, 0.00, 3489729.00, 65.86
Uttarakhand, 29-02-2016, M, 4.76, 2460661.00, 48.68
Uttarakhand, 31-03-2016, M, 1.30, 1879939.00, 35.81
Uttarakhand, 30-04-2016, M, 0.00, 3124021.00, 58.63
Uttarakhand, 31-05-2016, M, 0.00, 3866562.00, 72.43
Uttarakhand, 30-06-2016, M, 2.32, 2357432.00, 45.12
Uttarakhand, 31-07-2016, M, 0.00, 2088677.00, 38.98
Uttarakhand, 31-08-2016, M, 0.00, 2573999.00, 47.94
Uttarakhand, 30-09-2016, M, 0.00, 2464390.00, 45.81
Uttarakhand, 31-10-2016, M, 4.82, 2206720.00, 43.02
Uttarakhand, 30-11-2016, M, 0.00, 1799930.00, 33.33
Uttarakhand, 31-12-2016, M, 0.00, 2462880.00, 45.52
Uttarakhand, 31-01-2017, M, 0.00, 2900105.00, 53.50
Uttarakhand, 28-02-2017, M, 3.43, 2227459.00, 42.48
Uttarakhand, 31-03-2017, M, 0.00, 2055971.00, 37.79
Uttarakhand, 30-04-2017, M, 0.00, 2278360.00, 41.80
Uttarakhand, 31-05-2017, M, 0.00, 2470733.00, 45.24
Uttarakhand, 30-06-2017, M, 2.17, 2046275.00, 38.23
Uttarakhand, 31-07-2017, M, 0.00, 2017383.00, 36.80
Uttarakhand, 31-08-2017, M, 0.00, 2315762.00, 42.16
Uttarakhand, 30-09-2017, M, 0.00, 2325614.00, 42.26
Uttarakhand, 31-10-2017, M, 1.46, 1985529.00, 36.54
Uttarakhand, 30-11-2017, M, 3.73, 2036233.00, 38.29
Uttarakhand, 31-12-2017, M, 1.14, 1937959.00, 35.41
Uttarakhand, 31-01-2018, M, 0.56, 2062357.00, 37.39
Uttarakhand, 28-02-2018, M, 1.02, 2025083.00, 36.82
Uttarakhand, 31-03-2018, M, 3.00, 2092959.00, 38.76
Uttarakhand, 30-04-2018, M, 0.46, 1918046.00, 34.55
Uttarakhand, 31-05-2018, M, 1.02, 2142532.00, 38.74
Uttarakhand, 30-06-2018, M, 1.05, 1963765.00, 35.45
Uttarakhand, 31-07-2018, M, 3.03, 2045727.00, 37.61
Uttarakhand, 31-08-2018, M, 0.46, 1930445.00, 34.50
Uttarakhand, 30-09-2018, M, 1.55, 2109007.00, 38.04
Uttarakhand, 31-10-2018, M, 4.66, 1940566.00, 36.07
Uttarakhand, 30-11-2018, M, 4.58, 2030567.00, 37.64
Uttarakhand, 31-12-2018, M, 4.82, 1958292.00, 36.32
Uttarakhand, 31-01-2019, M, 1.71, 2164406.00, 38.80
Uttarakhand, 28-02-2019, M, 5.29, 1958058.00, 36.36
Uttarakhand, 31-03-2019, M, 5.04, 1968509.00, 36.39
Uttarakhand, 30-04-2019, M, 6.11, 1902434.00, 35.50
Uttarakhand, 31-05-2019, M, 1.63, 2108044.00, 37.47
Uttarakhand, 30-06-2019, M, 4.65, 2021553.00, 37.01
Uttarakhand, 31-07-2019, M, 5.74, 2000524.00, 36.97
Uttarakhand, 31-08-2019, M, 6.11, 1911380.00, 35.39
Uttarakhand, 30-09-2019, M, 3.47, 2157845.00, 38.79
Uttarakhand, 31-10-2019, M, 4.83, 2027663.00, 36.90
Uttarakhand, 30-11-2019, M, 5.56, 2007113.00, 36.73
Uttarakhand, 31-12-2019, M, 4.52, 1947566.00, 35.19
Uttarakhand, 31-01-2020, M, 4.17, 1986386.00, 35.69
Uttarakhand, 29-02-2020, M, 4.85, 2057523.00, 37.16
Uttarakhand, 30-04-2020, M, 3.66, 1972074.00, 35.04
Uttarakhand, 31-05-2020, M, 3.57, 1915482.00, 33.94
Uttarakhand, 30-06-2020, M, 10.71, 1675441.00, 32.00
Uttarakhand, 31-08-2020, M, 11.54, 1907133.00, 36.62
West Bengal, 31-01-2016, M, 8.30, 22075472.00, 48.57
West Bengal, 29-02-2016, M, 4.66, 21471002.00, 45.35
West Bengal, 31-03-2016, M, 8.40, 21405797.00, 46.96
West Bengal, 30-04-2016, M, 7.64, 21089931.00, 45.80
West Bengal, 31-05-2016, M, 5.64, 22359938.00, 47.42
West Bengal, 30-06-2016, M, 5.72, 20823298.00, 44.12
West Bengal, 31-07-2016, M, 8.17, 21126808.00, 45.86
West Bengal, 31-08-2016, M, 6.41, 22080987.00, 46.93
West Bengal, 30-09-2016, M, 7.74, 23690379.00, 50.97
West Bengal, 31-10-2016, M, 4.07, 22053746.00, 45.54
West Bengal, 30-11-2016, M, 7.92, 21312030.00, 45.76
West Bengal, 31-12-2016, M, 5.48, 22049104.00, 46.02
West Bengal, 31-01-2017, M, 5.75, 22887232.00, 47.81
West Bengal, 28-02-2017, M, 4.18, 22306933.00, 45.75
West Bengal, 31-03-2017, M, 6.90, 21696106.00, 45.70
West Bengal, 30-04-2017, M, 4.75, 22540227.00, 46.31
West Bengal, 31-05-2017, M, 4.67, 23554388.00, 48.26
West Bengal, 30-06-2017, M, 4.14, 23015128.00, 46.80
West Bengal, 31-07-2017, M, 6.71, 21847440.00, 45.55
West Bengal, 31-08-2017, M, 4.55, 22455769.00, 45.67
West Bengal, 30-09-2017, M, 6.24, 22305161.00, 46.08
West Bengal, 31-10-2017, M, 5.08, 23412291.00, 47.68
West Bengal, 30-11-2017, M, 5.95, 22561441.00, 46.28
West Bengal, 31-12-2017, M, 4.48, 23349724.00, 47.06
West Bengal, 31-01-2018, M, 7.87, 22219046.00, 46.33
West Bengal, 28-02-2018, M, 8.79, 23869814.00, 50.19
West Bengal, 31-03-2018, M, 8.72, 22389479.00, 46.94
West Bengal, 30-04-2018, M, 5.63, 22899228.00, 46.34
West Bengal, 31-05-2018, M, 7.33, 22622121.00, 46.52
West Bengal, 30-06-2018, M, 7.56, 24109126.00, 49.60
West Bengal, 31-07-2018, M, 6.21, 23719522.00, 48.00
West Bengal, 31-08-2018, M, 4.80, 23036472.00, 45.83
West Bengal, 30-09-2018, M, 6.37, 22959228.00, 46.35
West Bengal, 31-10-2018, M, 6.27, 24343879.00, 48.99
West Bengal, 30-11-2018, M, 5.73, 24083524.00, 48.09
West Bengal, 31-12-2018, M, 5.38, 23436809.00, 46.53
West Bengal, 31-01-2019, M, 6.70, 23418234.00, 47.06
West Bengal, 28-02-2019, M, 5.99, 24664811.00, 49.09
West Bengal, 31-03-2019, M, 5.54, 25033573.00, 49.49
West Bengal, 30-04-2019, M, 6.51, 24167841.00, 48.18
West Bengal, 31-05-2019, M, 6.02, 23452891.00, 46.41
West Bengal, 30-06-2019, M, 5.85, 25543479.00, 50.36
West Bengal, 31-07-2019, M, 5.62, 24857801.00, 48.78
West Bengal, 31-08-2019, M, 5.58, 24924839.00, 48.79
West Bengal, 30-09-2019, M, 5.81, 24623902.00, 48.22
West Bengal, 31-10-2019, M, 6.78, 24353011.00, 48.09
West Bengal, 30-11-2019, M, 5.83, 25630349.00, 50.00
West Bengal, 31-12-2019, M, 5.79, 24906236.00, 48.47
West Bengal, 31-01-2020, M, 6.79, 24612171.00, 48.30
West Bengal, 29-02-2020, M, 3.78, 26093009.00, 49.51
West Bengal, 31-03-2020, M, 7.02, 25097812.00, 49.18
West Bengal, 30-04-2020, M, 18.32, 17639370.00, 39.27
West Bengal, 31-05-2020, M, 18.43, 19115772.00, 42.53
West Bengal, 30-06-2020, M, 4.94, 21225887.00, 40.44
West Bengal, 31-07-2020, M, 4.40, 25839438.00, 48.85
West Bengal, 31-08-2020, M, 13.13, 23276167.00, 48.32
India, 31-01-2016, M, 7.92, 281897063.00, 49.01
India, 29-02-2016, M, 7.55, 275622533.00, 47.65
India, 31-03-2016, M, 7.36, 271078231.00, 46.68
India, 30-04-2016, M, 7.79, 276797350.00, 47.80
India, 31-05-2016, M, 8.52, 287522023.00, 49.95
India, 30-06-2016, M, 8.26, 273594738.00, 47.30
India, 31-07-2016, M, 7.22, 271567821.00, 46.34
India, 31-08-2016, M, 8.85, 278415037.00, 48.26
India, 30-09-2016, M, 7.82, 288344900.00, 49.34
India, 31-10-2016, M, 6.29, 282437066.00, 47.44
India, 30-11-2016, M, 5.96, 271624996.00, 45.38
India, 31-12-2016, M, 5.82, 277520085.00, 46.21
India, 31-01-2017, M, 5.11, 281110838.00, 46.37
India, 28-02-2017, M, 4.35, 276714541.00, 45.20
India, 31-03-2017, M, 4.14, 275986233.00, 44.90
India, 30-04-2017, M, 3.72, 275638861.00, 44.56
India, 31-05-2017, M, 3.65, 278531408.00, 44.91
India, 30-06-2017, M, 3.78, 278851268.00, 44.94
India, 31-07-2017, M, 3.01, 274118126.00, 43.74
India, 31-08-2017, M, 3.59, 276842713.00, 44.36
India, 30-09-2017, M, 4.13, 278105422.00, 44.73
India, 31-10-2017, M, 4.52, 275515215.00, 44.41
India, 30-11-2017, M, 4.39, 279695645.00, 44.94
India, 31-12-2017, M, 4.46, 278093653.00, 44.62
India, 31-01-2018, M, 4.43, 277440299.00, 44.42
India, 28-02-2018, M, 5.53, 275326775.00, 44.52
India, 31-03-2018, M, 5.95, 274507610.00, 44.50
India, 30-04-2018, M, 5.29, 274398367.00, 44.09
India, 31-05-2018, M, 4.65, 274810539.00, 43.78
India, 30-06-2018, M, 5.32, 272352767.00, 43.61
India, 31-07-2018, M, 5.42, 272440047.00, 43.59
India, 31-08-2018, M, 6.06, 270256510.00, 43.45
India, 30-09-2018, M, 6.05, 275902531.00, 44.27
India, 31-10-2018, M, 6.69, 267186040.00, 43.08
India, 30-11-2018, M, 6.32, 273676206.00, 43.87
India, 31-12-2018, M, 6.80, 269401503.00, 43.32
