Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Odisha, 30-06-2020, M, 4.59, 10187145.00, 36.36
Odisha, 31-07-2020, M, 2.27, 11241273.00, 39.11
Odisha, 31-08-2020, M, 1.48, 11783094.00, 40.60
Puducherry, 31-03-2020, M, 2.31, 142176.00, 35.23
Puducherry, 30-04-2020, M, 74.51, 49420.00, 46.79
Puducherry, 31-08-2020, M, 3.28, 162881.00, 40.13
Punjab, 31-03-2020, M, 10.51, 6373692.00, 46.85
Punjab, 30-04-2020, M, 3.69, 4721590.00, 32.20
Punjab, 31-05-2020, M, 40.59, 3727366.00, 41.14
Punjab, 30-06-2020, M, 20.00, 5364047.00, 43.90
Punjab, 31-07-2020, M, 11.26, 6214483.00, 45.77
Punjab, 31-08-2020, M, 9.78, 5902580.00, 42.69
Rajasthan, 31-03-2020, M, 9.47, 15059769.00, 39.47
Rajasthan, 30-04-2020, M, 12.25, 13051219.00, 35.21
Rajasthan, 31-05-2020, M, 10.45, 15586833.00, 41.11
Rajasthan, 30-06-2020, M, 13.86, 16076978.00, 43.98
Rajasthan, 31-07-2020, M, 14.00, 14632880.00, 40.00
Rajasthan, 31-08-2020, M, 14.68, 15036627.00, 41.34
Sikkim, 30-04-2020, M, 0.00, 133399.00, 37.72
Sikkim, 30-06-2020, M, 5.81, 141313.00, 42.36
Sikkim, 31-08-2020, M, 12.68, 160503.00, 51.82
Tamil Nadu, 31-03-2020, M, 6.36, 15848590.00, 51.56
Tamil Nadu, 30-04-2020, M, 53.19, 5086200.00, 33.05
Tamil Nadu, 31-05-2020, M, 38.73, 5768342.00, 28.60
Tamil Nadu, 30-06-2020, M, 2.06, 10169115.00, 31.49
Tamil Nadu, 31-07-2020, M, 5.88, 13430733.00, 43.22
Tamil Nadu, 31-08-2020, M, 1.80, 14442862.00, 44.48
Telangana, 31-03-2020, M, 5.63, 12028377.00, 68.53
Telangana, 30-04-2020, M, 4.51, 8793799.00, 49.44
Telangana, 31-05-2020, M, 34.01, 7508747.00, 61.00
Telangana, 30-06-2020, M, 19.30, 8891181.00, 58.97
Telangana, 31-07-2020, M, 12.77, 9590911.00, 58.75
Telangana, 31-08-2020, M, 7.02, 13608389.00, 78.08
Tripura, 31-03-2020, M, 31.61, 1060946.00, 68.28
Tripura, 30-04-2020, M, 43.64, 675083.00, 52.63
Tripura, 31-05-2020, M, 14.71, 911789.00, 46.90
Tripura, 30-06-2020, M, 18.84, 1106978.00, 59.74
Tripura, 31-07-2020, M, 12.70, 967552.00, 48.46
Tripura, 31-08-2020, M, 27.44, 970103.00, 58.36
Uttar Pradesh, 31-03-2020, M, 9.37, 43086706.00, 38.53
Uttar Pradesh, 30-04-2020, M, 19.92, 39970677.00, 40.37
Uttar Pradesh, 31-05-2020, M, 16.89, 38640999.00, 37.52
Uttar Pradesh, 30-06-2020, M, 8.51, 41908909.00, 36.89
Uttar Pradesh, 31-07-2020, M, 4.28, 43403319.00, 36.43
Uttar Pradesh, 31-08-2020, M, 5.69, 42985424.00, 36.54
Uttarakhand, 30-04-2020, M, 3.66, 1972074.00, 35.04
Uttarakhand, 31-05-2020, M, 3.57, 1915482.00, 33.94
Uttarakhand, 30-06-2020, M, 10.71, 1675441.00, 32.00
Uttarakhand, 31-08-2020, M, 11.54, 1907133.00, 36.62
West Bengal, 31-03-2020, M, 7.02, 25097812.00, 49.18
West Bengal, 30-04-2020, M, 18.32, 17639370.00, 39.27
West Bengal, 31-05-2020, M, 18.43, 19115772.00, 42.53
West Bengal, 30-06-2020, M, 4.94, 21225887.00, 40.44
West Bengal, 31-07-2020, M, 4.40, 25839438.00, 48.85
West Bengal, 31-08-2020, M, 13.13, 23276167.00, 48.32
India, 31-03-2020, M, 8.44, 270337539.00, 43.02
India, 30-04-2020, M, 22.89, 197005721.00, 37.15
India, 31-05-2020, M, 22.48, 213973844.00, 40.06
India, 30-06-2020, M, 10.52, 257288108.00, 41.66
India, 31-07-2020, M, 6.66, 272363171.00, 42.19
India, 31-08-2020, M, 7.65, 268720798.00, 41.99
