Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Madhya Pradesh, 31-07-2020, M, 3.56, 23735046.00, 39.89
Madhya Pradesh, 31-08-2020, M, 4.70, 23619011.00, 40.08
Maharashtra, 31-03-2020, M, 5.79, 40196806.00, 41.91
Maharashtra, 30-04-2020, M, 20.90, 27689253.00, 34.32
Maharashtra, 31-05-2020, M, 16.50, 30789201.00, 36.08
Maharashtra, 30-06-2020, M, 9.65, 39773706.00, 42.99
Maharashtra, 31-07-2020, M, 4.36, 41072215.00, 41.85
Maharashtra, 31-08-2020, M, 6.23, 40963616.00, 42.49
Meghalaya, 31-03-2020, M, 1.58, 1482351.00, 64.74
Meghalaya, 30-04-2020, M, 10.03, 965057.00, 45.99
Meghalaya, 31-05-2020, M, 5.92, 1215064.00, 55.24
Meghalaya, 30-06-2020, M, 1.15, 1350794.00, 58.31
Meghalaya, 31-07-2020, M, 2.10, 1448106.00, 62.96
Meghalaya, 31-08-2020, M, 3.74, 1357643.00, 59.88
Odisha, 31-03-2020, M, 13.08, 12272109.00, 39.62
Odisha, 30-04-2020, M, 23.76, 6865693.00, 25.23
Odisha, 31-05-2020, M, 9.55, 11659200.00, 36.06
Odisha, 30-06-2020, M, 4.17, 12408214.00, 36.16
Odisha, 31-07-2020, M, 1.88, 13633178.00, 38.74
Odisha, 31-08-2020, M, 1.42, 14154039.00, 39.96
Puducherry, 31-03-2020, M, 1.20, 421028.00, 34.49
Puducherry, 30-04-2020, M, 75.85, 117542.00, 39.30
Puducherry, 31-05-2020, M, 58.19, 172308.00, 33.19
Puducherry, 30-06-2020, M, 4.24, 367135.00, 30.80
Puducherry, 31-07-2020, M, 21.13, 399238.00, 40.56
Puducherry, 31-08-2020, M, 5.05, 396006.00, 33.34
Punjab, 31-03-2020, M, 10.32, 9975485.00, 44.69
Punjab, 30-04-2020, M, 2.86, 7020565.00, 28.99
Punjab, 31-05-2020, M, 33.58, 6410024.00, 38.64
Punjab, 30-06-2020, M, 16.82, 8411797.00, 40.41
Punjab, 31-07-2020, M, 10.44, 9754959.00, 43.45
Punjab, 31-08-2020, M, 10.99, 9386169.00, 41.99
Rajasthan, 31-03-2020, M, 11.90, 20024680.00, 39.54
Rajasthan, 30-04-2020, M, 17.70, 15984142.00, 33.71
Rajasthan, 31-05-2020, M, 14.11, 19812319.00, 39.94
Rajasthan, 30-06-2020, M, 13.66, 21352762.00, 42.72
Rajasthan, 31-07-2020, M, 15.23, 19856586.00, 40.37
Rajasthan, 31-08-2020, M, 17.51, 20014060.00, 41.71
Sikkim, 31-03-2020, M, 23.57, 262895.00, 60.59
Sikkim, 30-04-2020, M, 2.28, 215303.00, 38.70
Sikkim, 31-05-2020, M, 24.51, 193427.00, 44.88
Sikkim, 30-06-2020, M, 4.72, 217582.00, 39.88
Sikkim, 31-07-2020, M, 4.45, 265175.00, 48.32
Sikkim, 31-08-2020, M, 12.49, 244462.00, 48.49
Tamil Nadu, 31-03-2020, M, 6.40, 26830768.00, 43.91
Tamil Nadu, 30-04-2020, M, 49.83, 9719167.00, 29.63
Tamil Nadu, 31-05-2020, M, 32.96, 11502263.00, 26.20
Tamil Nadu, 30-06-2020, M, 13.46, 17910120.00, 31.55
Tamil Nadu, 31-07-2020, M, 8.09, 23644025.00, 39.15
Tamil Nadu, 31-08-2020, M, 2.65, 27046415.00, 42.22
Telangana, 31-03-2020, M, 5.77, 17341613.00, 58.31
Telangana, 30-04-2020, M, 6.25, 12172230.00, 41.06
Telangana, 31-05-2020, M, 34.78, 10617577.00, 51.39
Telangana, 30-06-2020, M, 15.48, 13469176.00, 50.21
Telangana, 31-07-2020, M, 9.05, 15410051.00, 53.28
Telangana, 31-08-2020, M, 5.79, 18185429.00, 60.59
Tripura, 31-03-2020, M, 29.95, 1511217.00, 66.89
Tripura, 30-04-2020, M, 41.23, 971514.00, 51.16
Tripura, 31-05-2020, M, 15.33, 1296788.00, 47.31
Tripura, 30-06-2020, M, 21.29, 1497993.00, 58.68
Tripura, 31-07-2020, M, 16.39, 1329729.00, 48.95
Tripura, 31-08-2020, M, 27.92, 1318621.00, 56.21
Uttar Pradesh, 31-03-2020, M, 10.11, 56976338.00, 38.89
Uttar Pradesh, 30-04-2020, M, 21.54, 50915056.00, 39.73
Uttar Pradesh, 31-05-2020, M, 20.84, 49752485.00, 38.39
Uttar Pradesh, 30-06-2020, M, 9.64, 55117633.00, 37.18
Uttar Pradesh, 31-07-2020, M, 5.52, 56277763.00, 36.22
